Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2005-03-28,45.16617252047666,46.08827791407875,44.94845187958473,45.503421783447266,1043870,0.0,0.0
2005-03-29,45.59307751532942,46.53225943039064,44.828923506320656,45.844947814941406,1633830,0.0,0.0
2005-03-30,45.678459976869306,45.92606362571363,44.91430590978076,45.52904510498047,4288490,0.0,0.0
2005-03-31,46.01143737783572,46.95062251423718,45.69553121941865,46.51945114135742,2229640,0.0,0.0
2005-04-01,46.61763466793921,47.5568197644065,46.19073323963574,47.091495513916016,1679830,0.0,0.0
2005-04-04,47.12992672281732,47.29214812191995,46.126708839182626,47.147003173828125,1266340,0.0,0.0
2005-04-05,47.55681326847857,47.9837146384703,45.853477714171284,46.101078033447266,1920270,0.0,0.0
2005-04-06,45.78517618338343,47.55681768476968,45.78517618338343,47.24517822265625,2126860,0.0,0.0
2005-04-07,47.81296623185055,48.40635903434657,47.68489448378673,48.081912994384766,2544620,0.0,0.0
2005-04-08,48.150220269247,48.239869192836174,45.93460045611481,46.67314147949219,2427150,0.0,0.0
2005-04-11,48.478927893797575,48.478927893797575,46.5365282395175,47.561092376708984,2087170,0.0,0.0
2005-04-12,47.72757586152076,47.80868490942827,46.959152070298074,47.68488311767578,1226360,0.0,0.0
2005-04-13,48.23985956043844,48.96559065810549,47.55681795257546,47.93675994873047,5014430,0.0,0.0
2005-04-15,47.898342585202236,47.95810852913709,45.50769505680884,45.9815559387207,2801830,0.0,0.0
2005-04-18,45.62722334581924,45.62722334581924,44.06476581661911,44.42763137817383,4476620,0.0,0.0
2005-04-19,45.25155353955865,45.678454988045054,44.95699049786317,45.362548828125,2845560,0.0,0.0
2005-04-20,44.58985802569909,46.61764004398889,44.58985802569909,46.169395446777344,3143910,0.0,0.0
2005-04-21,53.981696449251125,53.981696449251125,44.824660055084024,46.5963020324707,1442560,0.0,0.0
2005-04-22,48.06056566828869,48.06056566828869,45.69553126188814,46.122432708740234,1433530,0.0,0.0
2005-04-25,46.532255737869825,46.532255737869825,45.69125940203796,46.10535430908203,1414290,0.0,0.0
2005-04-26,46.18219757501007,46.42126133743883,45.789449034734396,45.99009323120117,1459550,0.0,0.0
2005-04-27,45.34120096236441,46.17366071374655,45.34120096236441,45.88763427734375,1023820,0.0,0.0
2005-04-28,45.849214683154344,46.446877342416954,44.84599696421324,46.09254837036133,2295090,0.0,0.0
2005-04-29,45.79798723819392,46.12670318007297,44.65389121683488,45.6784553527832,2036800,0.0,0.0
2005-05-02,45.67845221454579,46.12670001103968,45.67845221454579,46.084007263183594,1003030,0.0,0.0
2005-05-03,46.019985579440814,46.267585987983885,45.85349424567902,46.130977630615234,2206630,0.0,0.0
2005-05-04,45.6314951085257,46.10535597213258,45.465003805852966,46.03278350830078,747190,0.0,0.0
2005-05-05,46.44687916268867,47.3775244559701,46.44687916268867,46.66459655761719,2677090,0.0,0.0
2005-05-06,46.68167403204261,46.68167403204261,45.8065279926342,46.18647003173828,1448770,0.0,0.0
